Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Development,HTML Semantics & Structure,Semantics,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Semantics,Correct heading hierarchy maintained,Critical,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Semantics,Single h1 per page where applicable,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Landmarks,Landmark regions defined,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Consistent sectioning elements usage,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Avoid excessive DOM depth,Medium,No,Code Audit,,,
Development,HTML Semantics & Structure,Structure,Repeated component types use consistent HTML structure (automated pattern deviation detection across same-class elements),Medium,No,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,All inputs have associated labels,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Placeholder not used as label,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Required fields indicated accessibly,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Primary content (headings/navigation/body text) renders with JavaScript disabled; <noscript> fallbacks present where applicable,High,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Avoid inline event handlers,Medium,No,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Avoid inline styles,Medium,No,Linting,,,
Development,HTML Forms & Inputs,Forms,Accessible names for interactive elements,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,No empty links or buttons,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Tables use thead and tbody,High,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Table headers use th,High,Yes,Code Audit,,,
Development,HTML Media & Data,Lists,Lists use ul or ol correctly,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Images inside links/buttons or as sole content of a container have non-empty alt text; alt text on linked images does not duplicate parent link text; linked-image alt contains action or destination keyword; alt text length between 5-125 characters,High,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Tables not used for layout,Critical,Yes,Code Audit,,,
Development,HTML Media & Data,Tables,Table headers have scope,Medium,No,Code Audit,,,
Development,HTML Media & Data,Images,Accessible image role usage,Medium,No,Code Audit,,,
Development,HTML Media & Data,Lists,List semantics not broken by CSS,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta viewport configured correctly,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,IDs,No duplicate IDs,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,IDs,IDs used only when necessary,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Validation,No invalid HTML nesting,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Validation,HTML validates without errors,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,ARIA roles do not duplicate native semantics,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,Avoid misuse of ARIA roles,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,ARIA,ARIA used only when necessary,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta tags do not block zoom,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Links,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,CLI Tool,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for all colors,Critical,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for spacing scale,High,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,CSS variables used for typography scale,High,Yes,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded hex/rgb color values,Critical,Yes,Linting,,,
Development,CSS Architecture & Tokens,Design Tokens,No hardcoded pixel spacing where tokens exist,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,Consistent naming conventions,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,No project/customer prefixes in class names,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,No inline styles in markup,Critical,Yes,Linting,,,
Development,CSS Architecture & Tokens,Maintainability,CSS readable without minification,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Layout,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,Code Audit,,,
Development,Layout & Responsiveness,Layout,Avoid absolute positioning for layout,High,No,Code Audit,,,
Development,Layout & Responsiveness,Layout,Avoid floats for layout,Medium,Yes,Linting,,,
Development,Layout & Responsiveness,Layout,Avoid fixed heights for content containers,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,Standard breakpoints only,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Responsive,No mixing min/max width queries,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Responsive,Responsive images by default,High,Yes,Code Audit,,,
Development,Layout & Responsiveness,Stability,Avoid layout shift during load: all images and media have explicit width/height attributes or CSS aspect-ratio; font-display is set (swap/optional) in @font-face; no dynamic content inserted above the fold via JS on page load,Critical,Yes,Code Audit,,,
Development,Layout & Responsiveness,Layering,Avoid z-index escalation,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,Avoid expensive box-shadows,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,Avoid heavy CSS filters,Medium,No,Code Audit,,,
Development,Performance & Misc - CSS,Performance,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,Fallbacks for unsupported CSS,High,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Compatibility,Avoid vendor prefixes unless required,Medium,No,Linting,,,
Development,Performance & Misc - CSS,Quality,No duplicated CSS rules,High,Yes,Linting,,,
Development,Performance & Misc - CSS,Quality,No unused CSS selectors,High,Yes,Linting,,,
Development,Performance & Misc - CSS,Quality,Consistent property ordering,Medium,No,Linting,,,
Development,JavaScript Architecture & Loading,Loading,No blocking scripts in head,Critical,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Use async or defer appropriately,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Third-party scripts lazy loaded,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No marketing tags in head,Medium,No,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,Build toolchain presence (webpack/vite/rollup/parcel config) detected and flagged; no build tool = pass,Medium,No,Build Config,,,
Development,JavaScript Architecture & Loading,Loading,Source maps generated for production builds; non-minified source files present in repository,Medium,No,Build Config,,,
Development,JavaScript Architecture & Loading,Loading,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,Code Audit,,,
Development,JavaScript Architecture & Loading,Loading,No binaries stored in repository,Medium,No,File Check,,,
Development,JavaScript Architecture & Loading,Loading,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Direct DOM API call count (querySelector/appendChild/insertBefore/removeChild) within threshold per file (max 10 per file),High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,No large innerHTML assignments (>500 chars of HTML); createElement chains limited to 5 per function; DOM generation concentrated in template/render functions,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid tight DOM coupling,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid forced synchronous layouts,Critical,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Prefer native browser APIs,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Dependencies with known native browser API equivalents flagged (e.g. lodash.get vs optional chaining); total dependency count and per-dependency bundle size contribution analyzed,High,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid jQuery-style patterns,Medium,No,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Modern ES6+ syntax used,Medium,Yes,Linting,,,
Development,JavaScript State & Reliability,Async,Avoid memory leaks,Critical,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Event listeners cleaned up properly,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Async logic uses async/await,High,Yes,Linting,,,
Development,JavaScript State & Reliability,Async,Promises handled correctly,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,Async,Avoid race conditions,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,No mutation of shared state,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,No side effects in pure functions,High,Yes,Code Audit,,,
Development,JavaScript State & Reliability,State,Consistent return types,Medium,No,Code Audit,,,
Development,JavaScript State & Reliability,State,<noscript> fallback elements present in source HTML where applicable; feature detection (typeof/in operator checks) used before API calls; critical content exists in raw HTML and is not exclusively JS-rendered,Medium,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No global variables,Critical,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid inline JavaScript,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,JS scoped to component or block,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Consistent coding style,High,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Functions under 40 lines; parameter count <=4; max nesting depth <=3,High,Yes,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid deeply nested callbacks,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,No,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,Defensive input handling,Medium,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unreachable code,Medium,No,Linting,,,
Development,JavaScript Code Structure & Hygiene,Structure,No empty catch blocks,Medium,Yes,Linting,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,WCAG 2.1 AA compliance met,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,All focusable elements have :focus or :focus-visible styles with visible outline/box-shadow/border change; no outline:none or outline:0 without replacement focus style; focus ring provides >=2px visible boundary,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Skip links implemented,High,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Reduced motion respected,High,Yes,Code Audit,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Announce dynamic content changes,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible buttons and links,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Form validation errors use aria-invalid='true' on invalid fields; error messages linked via aria-describedby; error summary with anchor links present for forms with >3 fields; no alert() or browser-default-only validation as sole error mechanism,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible error messaging,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,ARIA labels provided where needed,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; keydown handler for Escape key present in source; focusable elements exist inside dialog container,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible tables,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Accessible lists,High,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,Responsive and reflow-safe content,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,<video> elements have <track kind='captions'> with valid non-empty src,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; transcript container visible (not display:none/visibility:hidden),Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Components,No focus-trap calls outside of modal/dialog components; no keydown handlers that programmatically restrict Tab key to a subset of elements on non-modal pages,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - Components & Content,Navigation,Navigation depth within acceptable limit,Medium,No,Code Audit,,,
Accessibility,Accessibility - CSS,Interaction,No :hover-only JS event handlers (every click/mouseenter handler has a keyboard equivalent); every CSS :hover show/hide rule has a corresponding :focus or :focus-within rule on the same selector,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Focus,Visible focus styles present,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Motion,Animations respect prefers-reduced-motion,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Motion,Total animation/transition count per page within threshold; no animations >2s duration; no infinite animations on non-loading elements,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Semantics,ARIA attributes used correctly,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,Sufficient contrast via tokens,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,No focus removed via CSS,High,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors,Medium,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,No eval() or Function(string) usage,Critical,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,No document.write or document.writeln,Critical,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,External scripts use Subresource Integrity (SRI) where applicable,High,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,No unsanitized user input in innerHTML or dangerous sinks,Critical,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,Unsafe innerHTML usage within threshold (zero or flagged),Critical,Yes,Code Audit,,,
Security,Security - Data & Secrets,Secrets,No hardcoded API keys or secrets in source,Critical,Yes,Code Audit,,,
Security,Security - Data & Secrets,Secrets,No credentials or tokens in URLs or query parameters,High,Yes,Code Audit,,,
Security,Security - Data & Secrets,Secrets,No sensitive data in client-side comments or console logs,Medium,No,Code Audit,,,
Security,Security - Data & Secrets,Storage,No insecure storage usage (localStorage/sessionStorage for secrets),Critical,Yes,Code Audit,,,
Security,Security - Data & Secrets,Storage,No PII stored in cookies or browser storage without encryption or consent,Critical,Yes,Code Audit,,,
Security,Security - Dependencies,Dependencies,No known vulnerable dependencies (npm audit / Snyk),Critical,Yes,CLI Tool,,,
Security,Security - Dependencies,Dependencies,Outdated dependencies reviewed for security advisories,High,No,CLI Tool,,,
Security,Security - Forms & Input,Input,Sensitive form fields have appropriate autocomplete attributes,High,Yes,Code Audit,,,
Security,Security - Forms & Input,Input,Form actions use HTTPS only,Critical,Yes,Code Audit,,,
Security,Security - Forms & Input,Input,No sensitive data exposed in client-visible IDs or data attributes,Medium,No,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,No render-blocking resources,High,Yes,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,JavaScript execution minimized,High,Yes,Build Config,,,
Performance,Performance - Core Web Vitals,Web Vitals,Third-party scripts audited,Medium,Yes,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,Performance budget config file present (budget.json/.lighthouserc/bundlesize config); CI performance check script exists in project,Medium,Yes,File Check,,,
Performance,Performance - Core Web Vitals,Web Vitals,RUM/analytics library detected in codebase (web-vitals/newrelic/datadog-rum import or script tag present),Medium,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,Responsive images implemented,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,Lazy loading for below-the-fold images,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,CSS delivery optimized,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,Unused CSS removed,High,Yes,Linting,,,
Performance,Performance - Asset & Delivery,Assets,Unused JS removed,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,Total JS bundle size within budget,Critical,Yes,Build Config,,,
Performance,Performance - Asset & Delivery,Assets,Third-party scripts audited,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,No excessive JS bundles,Medium,Yes,Build Config,,,
Performance,Performance - Asset & Delivery,Assets,Bundle analysis tool configured (webpack-bundle-analyzer/source-map-explorer); build output size within defined budgets,Medium,Yes,Build Config,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Zero lint errors (ESLint/Stylelint),Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused variables,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused functions,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused imports,Critical,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code paths,High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code files (unreferenced modules),High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No commented-out production code,High,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No implicit globals,High,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Strict mode enabled where applicable,High,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent indentation,Medium,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No mixed coding styles,Medium,Yes,Linting,,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent file structure,Medium,Yes,Code Audit,,,
Development,Code Quality - Hygiene & Safety,Static Safety,No duplicated constants,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Cyclomatic complexity average within threshold,High,Yes,Linting,,,
Development,Code Quality - Structure & Readability,Structure,Variable names >2 characters (excluding loop iterators i/j/k/x/y); no single-letter variables outside loops; no anti-pattern names (temp/tmp/data/val/stuff/thing/foo/bar without qualifier); camelCase or snake_case consistent per file,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Function names start with verb (get/set/is/has/should/create/update/delete/handle/render/fetch/parse/validate/transform/format/check/find/load/save/remove/add/init/build/compute/on); names >4 characters; no generic names (doStuff/handleIt/process/run without descriptive suffix),High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Consistent naming conventions,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,No nested ternary expressions beyond 1 level; no if/else chains >4 branches (suggest switch/object-map); boolean expressions <=3 conditions per statement; complex boolean expressions without intermediate named variable flagged,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Component files have <30% non-rendering code; component files >200 LOC with inline business logic (regex/math/data-transform blocks >10 lines) flagged for extraction,High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Files export <=5 public functions/classes; file content focused on single domain (no mixed utility+component+API patterns detected),High,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Avoid deeply nested conditionals,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Functions with if-block wrapping >80% of function body flagged for guard-clause inversion; nested if-else >3 levels deep where outermost condition is validation/type-check flagged for early return,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Average file size under 500 LOC; functions under 40 lines; module boundaries well-defined,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,Files have single responsibility and clear module boundaries,Medium,Yes,Code Audit,,,
Development,Code Quality - Structure & Readability,Structure,README present; consistent file structure; average cyclomatic complexity below threshold; naming conventions consistent; JSDoc coverage above threshold,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Consistent error handling strategy,Critical,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Errors logged meaningfully,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Errors fail gracefully,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Predictable execution flow,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Explicit dependencies,High,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Avoid magic numbers,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Constants centralized,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Config-driven behavior,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,No bitwise operators for basic arithmetic; no manual loop unrolling; micro-optimization patterns flagged,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Abstraction layers <=3 deep; no single-use wrapper classes; factory/strategy patterns have >=2 implementations,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Shared utilities extracted,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Duplicate code percentage within threshold,High,Yes,Code Audit,,,
