Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Development,Code Quality - Architecture & Dependencies,Architecture,Component import frequency analyzed: components imported in >=2 files counted as reused; reuse ratio (reused/total components) >=40%; duplicate JSX/template patterns >10 lines across files flagged as extraction candidates,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No hardcoded environment values,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Avoid circular dependencies,High,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,No stale TODO/FIXME comments; no comments referencing symbols that do not exist in scope; no commented-out code blocks,Medium,Yes,Code Audit,,,
Development,Code Quality - Architecture & Dependencies,Architecture,Comments restating adjacent code flagged; commented-out code blocks >3 lines flagged; TODO/FIXME without issue-tracker reference flagged; JSDoc @param/@return types match actual function signature; comment-to-code ratio between 5-30%,Medium,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,HTML5 Doctype (<!DOCTYPE html>) present as first line of all HTML pages; no legacy XHTML or HTML4 doctypes,Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Charset meta tag (<meta charset=""UTF-8"">) declared in <head> before any content-producing elements; charset declaration appears within first 1024 bytes of document",Critical,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Language attribute (lang) on <html> element is a valid BCP 47 tag matching page content language; lang attribute not empty or set to 'undefined',High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Direction attribute (dir) specified on <html> or relevant container elements for RTL language pages; value is 'ltr' or 'rtl' matching content language direction,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,Code Audit,,,
Development,HTML Metadata & Validation,Metadata,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,Code Audit,,,
Development,HTML Semantics & Structure,Structure,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Validation,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,CSS files minified in production output; source CSS remains readable in repository; build config includes minification step,High,Yes,Build Config,,,
Performance,Performance - Asset & Delivery,Assets,JavaScript files minified in production output; source JS remains readable in repository; build config includes minification step,High,Yes,Build Config,,,
Development,CSS Architecture & Tokens,Maintainability,CSS print stylesheet (@media print) defined; print styles hide non-essential UI elements (navigation/footer/sidebar/ads),Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS reset or normalize library (reset.css/normalize.css/modern-normalize) imported in global stylesheet; reset styles loaded before component styles,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Design Tokens,Font-family declarations defined at :root or body level using CSS custom properties; component-level stylesheets reference font-family tokens instead of hardcoding font names,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Content <img> elements have explicit width and height HTML attributes or CSS aspect-ratio set to reserve layout space and prevent CLS,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,JSX or template render return block under 50 lines per component; components with render output exceeding 50 lines flagged for decomposition,Medium,No,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused npm/yarn packages in package.json; depcheck or npm-check analysis confirms all listed dependencies are imported in source code,High,Yes,CLI Tool,,,
Development,JavaScript State & Reliability,State,No setState/dispatch/state-mutation calls inside for/while/do-while/forEach/map/reduce loops; state updates batched or moved outside iteration blocks,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused component props passed from parent to child; unused prop detection via static analysis or TypeScript strict mode,Medium,No,Code Audit,,,
Process & Governance,Version Control & Repository,VCS,Git repository initialized with .git directory present; remote origin configured; repository is not in detached HEAD state,Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,.gitignore file present and includes standard exclusions (node_modules; dist/build output; .env files; OS files; IDE config); no build artifacts or dependency folders committed,Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,Package lock file (package-lock.json or yarn.lock) committed to repository; lock file version matches package.json dependencies; no conflicting lock files present,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,.editorconfig file present with consistent settings for indent style; indent size; end-of-line; charset; and trim trailing whitespace,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,VCS,CODEOWNERS file present (GitHub) or equivalent merge-request approval rules configured; ownership covers all critical directories (src; config; CI files),High,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,Branch naming follows defined convention pattern (e.g. feature/*; bugfix/*; hotfix/*; release/*); no branches with generic names (test; temp; fix; branch1); main/master branch present as default,High,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,No direct commits to main/master branch detected via git log (all commits arrive as merge commits),Critical,Yes,File Check,,,
Process & Governance,Version Control & Repository,Branching,Stale branches (no commits in >30 days and not merged) identified and flagged for cleanup; total branch count within manageable threshold (<50 active branches),Medium,No,File Check,,,
Process & Governance,PR & Code Review,Approvals,Pull request template file (.github/PULL_REQUEST_TEMPLATE.md or equivalent) exists with sections for description; testing; and checklist,High,Yes,File Check,,,
Process & Governance,PR & Code Review,Approvals,Merge commits follow conventional commit format (feat/fix/chore/docs prefix); commit messages >10 characters (verified via git log),High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI/CD configuration file present (.github/workflows/*.yml; .gitlab-ci.yml; Jenkinsfile; or equivalent); pipeline runs on pull requests and main branch pushes,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes lint step (ESLint/Stylelint execution); pipeline fails on lint errors; lint configuration files referenced in CI match repository config,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes unit test execution step; test runner configured (Jest/Vitest/Mocha/Karma); pipeline fails on test failures; test coverage report generated,Critical,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes build/compile step that validates production build succeeds without errors; build artifacts generated and verifiable,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes accessibility audit step (axe-core; pa11y; or Lighthouse accessibility) that fails on critical/serious violations,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,CI pipeline includes security scanning step (npm audit; Snyk; or Dependabot) that flags known vulnerabilities in dependencies,High,Yes,File Check,,,
Process & Governance,CI/CD Pipeline,Pipeline,Automated deployment pipeline configured for staging/production environments; deployment requires CI pipeline pass; no manual deployment scripts as sole mechanism,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,Unit test files exist (*.test.js; *.spec.ts or equivalent pattern); test file count proportional to source file count (ratio >=0.3); test files not empty,Critical,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,Test coverage configuration present (jest.config coverage thresholds; nyc/.nycrc; or equivalent); minimum coverage threshold defined (>=60% line coverage for critical paths),High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Testing,E2E or integration test files exist (Cypress; Playwright; or Selenium configs detected); test scenarios cover critical user flows,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,Prettier or equivalent code formatter configuration file present (.prettierrc; .prettierrc.json); format-on-save or pre-commit format hook configured,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,Pre-commit hooks configured (husky; lint-staged; or lefthook); hooks run linting and formatting before each commit; .husky directory or equivalent present,High,Yes,File Check,,,
Process & Governance,Testing & Quality Gates,Quality,TypeScript strict mode enabled (strict: true in tsconfig.json) or equivalent type-checking configuration; no 'any' type usage exceeding threshold (max 5% of type annotations),High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,Environment variable template (.env.example or .env.template) present and committed; documents all required environment variables with descriptions; actual .env files excluded from repository,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,README.md present in repository root with project setup instructions; includes prerequisites; install steps; build commands; and run commands; README not a default scaffold placeholder,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,LICENSE file present in repository root; license type appropriate for project (commercial/open-source),Medium,No,File Check,,,
Process & Governance,Project Configuration,Config,Node.js version specified via .nvmrc; .node-version; or engines field in package.json; version is LTS or current stable,High,Yes,File Check,,,
Process & Governance,Project Configuration,Config,Docker configuration (Dockerfile; docker-compose.yml) present where containerization is required; no secrets hardcoded in Docker files,Medium,No,File Check,,,
Process & Governance,Project Configuration,Config,CHANGELOG.md or automated release notes (semantic-release; standard-version; changesets) configured; version history traceable from repository,Medium,No,File Check,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated placeholder comments detected (e.g. '// TODO: implement this'; '// Add your code here'; '// This function does X' without actual logic); boilerplate comment patterns from code-generation tools flagged via regex,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hallucinated imports (import statements referencing non-existent packages or modules not installed in node_modules); all import paths resolve to actual files or installed dependencies,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated dead utility functions (exported functions with zero import references across the codebase); orphaned helper files with no consumers flagged,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated hardcoded mock data or example values left in production code (e.g. 'John Doe'; 'test@example.com'; 'Lorem ipsum'; '123 Main St'; placeholder UUIDs); regex pattern scan across source files,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No excessive code comments with AI-characteristic patterns (step-by-step narration; comment-to-code ratio >50% in non-config files); over-commented files flagged,Medium,No,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No inconsistent coding patterns within the same file suggesting mixed AI-generation sessions (e.g. switching between arrow functions and function declarations; mixed async patterns; inconsistent error handling strategies within same module),Medium,No,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-generated code containing hardcoded API keys; tokens; passwords; or credentials in string literals; secret patterns (API_KEY=; Bearer ; sk-; ghp_; AKIA) scanned across all source files,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Security,No AI-suggested vulnerable patterns: no eval() with dynamic strings; no innerHTML with user input; no SQL/NoSQL string concatenation; no unsanitized URL construction; patterns flagged via static analysis,Critical,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Licensing,AI-generated code does not introduce copyleft license obligations; no verbatim code blocks matching GPL/AGPL-licensed open-source projects detected via code similarity scanning,High,Yes,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,Lighthouse performance score >= 75 on desktop and >= 65 on mobile; run via Chrome DevTools Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Chrome DevTools Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Chrome DevTools Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,Time to First Byte (TTFB) < 800ms measured in Chrome DevTools Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,Lighthouse SEO score >= 90 and Best Practices score >= 90 in Chrome DevTools Lighthouse panel; no critical findings blocking either category,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,"Total page weight within performance budget (< 1MB transferred for initial load); verify via Chrome DevTools Network panel Summary row showing transferred size, resource count, and finish time",High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,Text resources (HTML/CSS/JS) served with gzip or Brotli compression; verify via Content-Encoding response header in Chrome DevTools Network panel Headers tab for each critical resource,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,Static assets (JS/CSS/images) have long-lived Cache-Control headers (max-age >= 31536000) with content-hash versioning for cache busting; verify via Chrome DevTools Network panel Response Headers; use Disable cache checkbox during audit,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,All images within size budget; no uncompressed PNG served where WebP/AVIF is available; image display dimensions match intrinsic dimensions (no oversized images scaled via CSS); verify in Chrome DevTools Network panel and Lighthouse image audit,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Network,Resources served over HTTP/2 or HTTP/3 protocol; verify via Protocol column in Chrome DevTools Network panel (right-click column headers to enable Protocol column),Medium,No,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Coverage,JavaScript and CSS coverage on critical pages shows < 50% unused bytes on initial load; verify via Chrome DevTools Coverage panel (Ctrl+Shift+P > Show Coverage); flag unused bytes for lazy loading or removal,Medium,No,Chrome DevTools,,,
Security,Security - HTTP Headers,Headers,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Chrome DevTools Network panel Response Headers for the main document request,Critical,Yes,Chrome DevTools,,,
Security,Security - HTTP Headers,Headers,Strict-Transport-Security (HSTS) header present on HTTPS responses with max-age >= 31536000; includeSubDomains directive recommended; verify in Chrome DevTools Network panel Response Headers,High,Yes,Chrome DevTools,,,
Security,Security - HTTP Headers,Headers,X-Content-Type-Options: nosniff present on all responses; X-Frame-Options or CSP frame-ancestors set to prevent clickjacking; Referrer-Policy header configured to restrict referrer leakage; verify all security headers in Chrome DevTools Network panel,High,Yes,Chrome DevTools,,,
Security,Security - HTTP Headers,Headers,Permissions-Policy header configured to restrict access to sensitive browser APIs (camera; microphone; geolocation); verify in Chrome DevTools Network panel Response Headers for main document,Medium,No,Chrome DevTools,,,
Security,Security - Client-Side Code,Console,Zero JavaScript errors or unhandled promise rejections in Chrome DevTools Console panel on page load and during core user interactions; no CORS policy errors; console filter set to Errors level during production audit,Critical,Yes,Chrome DevTools,,,
Security,Security - Client-Side Code,Console,No deprecated browser API usage warnings or browser compatibility warnings visible in Chrome DevTools Console panel on production URL; Verbose level checked for hidden debug output,Medium,No,Chrome DevTools,,,
Security,Security - Network,Mixed Content,No mixed content warnings in Chrome DevTools Security panel; all sub-resources (scripts/styles/images/fonts/iframes) loaded over HTTPS; Security panel reports 'This page is secure (valid HTTPS)',Critical,Yes,Chrome DevTools,,,
Security,Security - Network,Certificate,TLS certificate valid and not expired; certificate chain complete and trusted by browser; verify in Chrome DevTools Security panel Certificate section; no certificate warnings on page load,Critical,Yes,Chrome DevTools,,,
Security,Security - Data & Secrets,Storage,No sensitive data (auth tokens; PII; credentials; session secrets) visible in Chrome DevTools Application panel under Local Storage; Session Storage; IndexedDB; or Cookies; HttpOnly and Secure flags set on authentication cookies,Critical,Yes,Chrome DevTools,,,
Security,Security - Data & Secrets,Storage,Cookies used for session management have SameSite attribute set to Strict or Lax; Secure flag enforced on all auth cookies; no unencrypted sensitive values in cookie payloads; verify in Chrome DevTools Application > Storage > Cookies,High,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,Page layout tested at standard breakpoints using Chrome DevTools Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Stability,CLS (Cumulative Layout Shift) < 0.1 verified in Chrome DevTools Performance panel recording; no unexpected layout shifts after fonts load or lazy-loaded images render; individual shift scores inspected in Experience section of timeline,Critical,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,Prefers-reduced-motion and prefers-color-scheme media queries tested via Chrome DevTools Rendering panel (More tools > Rendering > Emulate CSS media features); correct visual styles applied under each emulated preference,High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,No render-blocking resources identified in Chrome DevTools Lighthouse report or Performance panel waterfall; third-party scripts do not appear in critical rendering path; async/defer attributes confirmed in Network timeline,High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No console.log or developer debug output active on production build; Chrome DevTools Console panel shows zero developer messages at Verbose/Info level when auditing production URL,High,Yes,Chrome DevTools,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Lighthouse accessibility score >= 90 in Chrome DevTools Lighthouse panel; zero critical (wcag2a/wcag2aa) accessibility violations reported; all flagged items reviewed and addressed or documented,Critical,Yes,Chrome DevTools,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Accessibility tree in Chrome DevTools Elements > Accessibility pane shows correct roles; names; and states for all interactive elements; no elements flagged with missing accessible name or invalid role; inspect via right-click element > Inspect > Accessibility tab,High,Yes,Chrome DevTools,,,
Accessibility,Accessibility - CSS,Visual,Color contrast ratio meets WCAG AA thresholds (4.5:1 for normal text; 3:1 for large text >= 18pt or 14pt bold); verify via Chrome DevTools Elements panel > Accessibility pane contrast ratio tooltip on text elements; or Lighthouse accessibility audit contrast section,Critical,Yes,Chrome DevTools,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Tab focus order traverses page content in logical reading sequence; no focus jumps to unexpected areas or gets lost; verify by tabbing through the page with Chrome DevTools Elements panel open tracking the highlighted active element in the DOM,High,Yes,Chrome DevTools,,,
Accessibility,Accessibility - CSS,Visual,Forced colors / high contrast mode renders page legibly; no content or UI controls disappear; verify via Chrome DevTools Rendering panel > Emulate CSS media feature forced-colors: active; all interactive elements remain visible,High,Yes,Chrome DevTools,,,
Accessibility,Accessibility - Components & Content,Components,Page content reflows at 400% zoom without loss of information or functionality; no horizontal scrollbar required at 1280px width zoomed to 400% (equivalent to 320 CSS px viewport); verify via Chrome DevTools Device Toolbar set to 320px width (WCAG 1.4.10),High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No 'Violation' messages (handler took Xms; forced reflow while executing) in Chrome DevTools Console panel during user interactions; violations indicate long-running event handlers or layout thrashing caused by interleaved DOM reads and writes,High,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No forced synchronous layouts (layout thrashing) visible in Chrome DevTools Performance panel flame chart; purple 'Recalculate Style' or 'Layout' blocks triggered inside JS call stacks flagged; scrolling and animation frames remain within 16ms budget,Critical,Yes,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No excessive repaints on scroll or CSS transitions; verify via Chrome DevTools Rendering panel > Paint flashing checkbox; green flash areas should be minimal and not cover full-page regions on scroll,Medium,No,Chrome DevTools,,,
Development,JavaScript DOM & Performance Safety,DOM,No detached DOM nodes accumulating after component mount/unmount cycles or SPA route changes; verify via Chrome DevTools Memory panel > Take heap snapshot > filter by 'Detached'; zero detached HTMLElement nodes expected after GC,High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,Preloaded resources (<link rel='preload'>) are consumed within the page load; no 'The resource was preloaded using link preload but not used within a few seconds' warnings in Chrome DevTools Console; unused preloads waste bandwidth and block the load event,High,Yes,Chrome DevTools,,,
Development,JavaScript Architecture & Loading,Loading,Source maps present and functional for production builds; Chrome DevTools Sources panel shows original unminified source files and allows setting breakpoints; absence of source maps blocks debuggability and incident response,Medium,No,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,Page reflows correctly at 400% browser zoom (WCAG 1.4.10 Reflow); no horizontal scrollbar required to read content at 1280px viewport width zoomed to 400%; verify by setting zoom in Chrome DevTools Device Toolbar to simulate 320 CSS pixels wide,High,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Layering,Composited layer count within reasonable limits; no excessive use of will-change or translateZ hacks causing layer explosion; verify via Chrome DevTools Layers panel (More tools > Layers); layer memory usage shown per layer,Medium,No,Chrome DevTools,,,
Development,Layout & Responsiveness,Stability,Web fonts load without FOIT (Flash of Invisible Text); Performance panel film strip shows text visible during font load phase; font-display swap or optional strategy confirmed by absence of blank text frames in Network waterfall timing,High,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,FCP (First Contentful Paint) < 1.8s and Speed Index < 3.4s on mobile throttled network; verify via Chrome DevTools Lighthouse panel or Performance panel timing markers; FCP marker visible in Network waterfall as vertical line,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,No duplicate network requests for the same resource during page load; verify via Chrome DevTools Network panel sorted by Name column; duplicate URL entries indicate missing request deduplication or redundant script imports,High,Yes,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,Preconnect and dns-prefetch hints present for critical third-party origins; verify via Chrome DevTools Network panel Timing tab that DNS/TCP time is near-zero for hinted origins; missing hints cause visible waterfall stalls,Medium,No,Chrome DevTools,,,
Performance,Performance - Asset & Delivery,Assets,No requests blocked or delayed by Service Worker startup time on repeat visits; Application > Service Workers shows worker Active and not redundant; Network panel shows 'ServiceWorker' in Size column for expected cached resources,Medium,No,Chrome DevTools,,,
Security,Security - Network,WebSocket,WebSocket connections (if used) use encrypted wss:// protocol only; no unencrypted ws:// connections visible in Chrome DevTools Network panel WS filter; sensitive data must not transit over unencrypted WebSocket channels,High,Yes,Chrome DevTools,,,
Security,Security - Network,Origins,No requests made to unexpected or undocumented third-party origins during page load or interaction; verify via Chrome DevTools Network panel filtering by domain; all external origins should be reviewed and approved,High,Yes,Chrome DevTools,,,
Security,Security - Network,Origins,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Chrome DevTools Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,Chrome DevTools,,,